A5 Ithaca A,B5 Washington A,C5 Lisgar A,D5 R. Montgomery
A6 Ladue,B6 Mather,C6 Detroit Country Day,D6 Detroit Catholic B
E1 High Tech A,G1 Beavercreek,F1 Maggie Walker,H1 Southside A
