Maple,Oak,Birch,Willow,Cedar,Elm,Chestnut,Hemlock,Pine,Ash,Magnolia,Dogwood
DCC A,Hunter A,Stevenson A,Dorman,Ithaca A,Naperville,Westview,Barrington,LASA,Chatt. A,St. John's,Washington A
Wayzata,Sidney,High Tech A,Homestead,CCA A,Lehigh Valley,Southside A,Dublin Scioto,IMSA,La Jolla,Rich. Mont.,TJ-VA A
Mather,DCD,DCC B,Mtn Lakes,Lempa,Beavercreek,Ladue A,Northview,MLWGS,Auburn,Rancho,Dunbar A
Univ. Lab,Davis,Phillips,NCSSM,WHH,Collins Hill,Glasgow,Strake Jesuit,Trinity,Fish. Cath.,Woodford,Miami Valley
Johns Creek,Chatt. B,Marist,St. Thomas,TJ-VA B,Hunter B,Loyola,Lisgar A,Simon Kenton,Danville,Middlesex,Waubonsie
Ed W. Clark,Carbondale,St. Joseph,RockBridge A,Metea Valley,High Tech B,Northmont,Cath. Classic,Sing. Am.,DCC C,Washington B,Home. Floss.
Ithaca B,Orchard Farm,Southside B,Utica,MPSH,Ladue B,Norman,KCD,TJ-MO,TJ-VA C,Sandburg,CCA B
Cupertino,Dunbar B,Olentangy,Stevenson B,Northwest,Lisgar B,E. Willard,RockBridge B,Amador,Hannibal,Pi-oneers,Charter
