Maple,Oak,Birch,Willow,Cedar,Elm,Chestnut,Hemlock,Pine,Ash,Magnolia,Dogwood
DCC A,Hunter A,Stevenson A,Dorman,Ithaca A,Naperville,Westview,Barrington,LASA,Chatt. A,St. John's,Washington A
Mather,Sidney,High Tech A,Homestead,CCA A,Lehigh Valley,Southside A,Dublin Scioto,IMSA,La Jolla,Rich. Mont.,TJ-VA A
Auburn,DCD,DCC B,Dunbar A,Beavercreek,Ladue A,Northview,MLWGS,Mtn. Lakes,Lempa,Rancho,Miami Valley
Johns Creek,Univ. Lab,Davis,Trinity,Phillips,Collins Hill,WHH,Strake Jesuit,Glasgow,Fish. Cath.,Woodford,NCSSM
Danville,Chatt. B,Marist,Waubonsie,Loyola,Hunter B,Lisgar A,Simon Kenton,St. Thomas,TJ-VA B,Middlesex,Home. Floss.
Ithaca B,Ed W. Clark,Carbondale,Rock BridgeA,DCC C,Metea Valley,Northmont,High Tech B,Cath. Class.,St. Joseph,Washington B,Sing. Am.
Wayzata,Orchard Farm,Southside B,Utica,TJ-VA C,Norman,KCD,Ladue B,TJ-MO,MPSH,Sandburg,CCA B
RockBridge B,Cupertino,Dunbar B,Stevenson B,Lisgar B,Olentangy,Northwest,E. Willard,Amador,Hannibal,Pi-oneers,Charter
