Maple,Oak,Birch,Willow,Cedar,Elm,Chestnut,Hemlock,Pine,Ash,Magnolia,Dogwood
936,2540,Mirabel,Heathrow A,Tegel,Sky Harbor A,Gatwick,Paris,1029,John Wayne A,2140,SeaTac A
956,2932,Barajas,Heathrow B,Capital A,Sky Harbor B,JFK,2040,1031,John Wayne B,2240,SeaTac B
953,2740,Narita A,London,Da Vinci A,Lambert A,Malpensa,Vienna,1049,McCarran A,2340,Lindbergh A
916,2918,Narita B,Ronald Reagan,Da Vinci B,Lambert B,Florence,LaGuardia,1051,McCarran B,2440,Lindbergh B
