n,n,n,n,E2,H2,F2,G2,E3,H3,F3,G3,E4,H4,F4,G4,E5,H5,F5,G5,E6,H6,F6,G6
n,n,n,n,E2,G2,F2,H2,E3,G3,F3,H3,E4,G4,F4,H4,E5,G5,F5,H5,E6,G6,F6,H6
n,n,n,n,G2,H2,E2,F2,G3,H3,E3,F3,G4,H4,E4,F4,G5,H5,E5,F5,G6,H6,E6,F6
I1,L1,J1,K1,I2,L2,J2,K2,I3,L3,J3,K3,I4,L4,J4,K4,I5,L5,J5,K5,I6,L6,J6,K6
I1,K1,J1,L1,I2,K2,J2,L2,I3,K3,J3,L3,I4,K4,J4,L4,I5,K5,J5,L5,I6,K6,J6,L6
K1,L1,I1,J1,K2,L2,I2,J2,K3,L3,I3,J3,K4,L4,I4,J4,K5,L5,I5,J5,K6,L6,I6,J6
M1,P1,N1,O1,M2,P2,N2,O2,M3,P3,N3,O3,M4,P4,N4,O4,M5,P5,N5,O5,M6,P6,N6,O6
M1,O1,N1,P1,M2,O2,N2,P2,M3,O3,N3,P3,M4,O4,N4,P4,M5,O5,N5,P5,M6,O6,N6,P6
O1,P1,M1,N1,O2,P2,M2,N2,O3,P3,M3,N3,O4,P4,M4,N4,O5,P5,M5,N5,O6,P6,M6,N6
