A5,D6,C5,E1,B6,H1,B5,C6,D5,F1,A6,G1
H1,C5,A5,B6,E1,D6,G1,D5,B5,A6,F1,C6
E1,B6,D6,C5,A5,H1,F1,A6,C6,D5,B5,G1
D6,H1,A5,E1,C5,B6,C6,G1,B5,F1,D5,A6
A5,C5,B6,D6,H1,E1,B5,D5,A6,C6,G1,F1

